SiteCode;SiteName;DirectionName;LaneCode;LaneName;Date;TimeFrom;TimeTo;ValuesApproved;ValuesEdited;TrafficType;Total;DateTimeFrom;DateTimeTo;Year;Month;Day;Weekday;HourFrom;DayOfYear;Zst_id
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;02:00;03:00;1;0;Velo;1;2020-01-02 02:00:00;2020-01-02 03:00:00;2020;1;2;3;2;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;03:00;04:00;1;0;Velo;0;2020-01-02 03:00:00;2020-01-02 04:00:00;2020;1;2;3;3;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;04:00;05:00;1;0;Velo;4;2020-01-02 04:00:00;2020-01-02 05:00:00;2020;1;2;3;4;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;05:00;06:00;1;0;Velo;6;2020-01-02 05:00:00;2020-01-02 06:00:00;2020;1;2;3;5;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;06:00;07:00;1;0;Velo;31;2020-01-02 06:00:00;2020-01-02 07:00:00;2020;1;2;3;6;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;07:00;08:00;1;0;Velo;39;2020-01-02 07:00:00;2020-01-02 08:00:00;2020;1;2;3;7;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;08:00;09:00;1;0;Velo;50;2020-01-02 08:00:00;2020-01-02 09:00:00;2020;1;2;3;8;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;09:00;10:00;1;0;Velo;46;2020-01-02 09:00:00;2020-01-02 10:00:00;2020;1;2;3;9;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;10:00;11:00;1;0;Velo;50;2020-01-02 10:00:00;2020-01-02 11:00:00;2020;1;2;3;10;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;11:00;12:00;1;0;Velo;51;2020-01-02 11:00:00;2020-01-02 12:00:00;2020;1;2;3;11;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;12:00;13:00;1;0;Velo;76;2020-01-02 12:00:00;2020-01-02 13:00:00;2020;1;2;3;12;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;13:00;14:00;1;0;Velo;89;2020-01-02 13:00:00;2020-01-02 14:00:00;2020;1;2;3;13;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;14:00;15:00;1;0;Velo;94;2020-01-02 14:00:00;2020-01-02 15:00:00;2020;1;2;3;14;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;15:00;16:00;1;0;Velo;94;2020-01-02 15:00:00;2020-01-02 16:00:00;2020;1;2;3;15;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;16:00;17:00;1;0;Velo;96;2020-01-02 16:00:00;2020-01-02 17:00:00;2020;1;2;3;16;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;17:00;18:00;1;0;Velo;108;2020-01-02 17:00:00;2020-01-02 18:00:00;2020;1;2;3;17;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;18:00;19:00;1;0;Velo;52;2020-01-02 18:00:00;2020-01-02 19:00:00;2020;1;2;3;18;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;19:00;20:00;1;0;Velo;56;2020-01-02 19:00:00;2020-01-02 20:00:00;2020;1;2;3;19;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;20:00;21:00;1;0;Velo;38;2020-01-02 20:00:00;2020-01-02 21:00:00;2020;1;2;3;20;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;21:00;22:00;1;0;Velo;38;2020-01-02 21:00:00;2020-01-02 22:00:00;2020;1;2;3;21;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;22:00;23:00;1;0;Velo;25;2020-01-02 22:00:00;2020-01-02 23:00:00;2020;1;2;3;22;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;02.01.2020;23:00;00:00;1;0;Velo;14;2020-01-02 23:00:00;2020-01-03 00:00:00;2020;1;2;3;23;2;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;00:00;01:00;1;0;Velo;11;2020-01-03 00:00:00;2020-01-03 01:00:00;2020;1;3;4;0;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;01:00;02:00;1;0;Velo;4;2020-01-03 01:00:00;2020-01-03 02:00:00;2020;1;3;4;1;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;02:00;03:00;1;0;Velo;2;2020-01-03 02:00:00;2020-01-03 03:00:00;2020;1;3;4;2;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;03:00;04:00;1;0;Velo;1;2020-01-03 03:00:00;2020-01-03 04:00:00;2020;1;3;4;3;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;04:00;05:00;1;0;Velo;5;2020-01-03 04:00:00;2020-01-03 05:00:00;2020;1;3;4;4;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;05:00;06:00;1;0;Velo;4;2020-01-03 05:00:00;2020-01-03 06:00:00;2020;1;3;4;5;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;06:00;07:00;1;0;Velo;36;2020-01-03 06:00:00;2020-01-03 07:00:00;2020;1;3;4;6;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;07:00;08:00;1;0;Velo;55;2020-01-03 07:00:00;2020-01-03 08:00:00;2020;1;3;4;7;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;08:00;09:00;1;0;Velo;56;2020-01-03 08:00:00;2020-01-03 09:00:00;2020;1;3;4;8;3;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;03.01.2020;09:00;10:00;1;0;Velo;56;2020-01-03 09:00:00;2020-01-03 10:00:00;2020;1;3;4;9;3;350
